"","Variable_Name","DX_CODE","DX_DESC","matched_terms_llm_context_clinician","CLINICIAN_AGREED"
"96","A1C","R7302","IMPAIRED GLUCOSE TOLERANCE (ORAL)","IMPAIRED.*GLUCOSE.*TOLERANCE",TRUE
"97","A1C","R7303","PREDIABETES","DIABETES; PREDIABETES; PREDIABETES",TRUE
"98","A1C","R7309","OTHER ABNORMAL GLUCOSE","ABNORMAL.*GLUCOSE",TRUE
"99","A1C","R739","HYPERGLYCEMIA, UNSPECIFIED","HYPERGLYCEMIA; HYPERGLYCEMIA.*UNSPECIFIED",TRUE
"100","A1C","Z131","ENCOUNTER FOR SCREENING FOR DIABETES MELLITUS","DIABETES; DIABETES.*MELLITUS",FALSE
"101","A1C","Z833","FAMILY HISTORY OF DIABETES MELLITUS","DIABETES; DIABETES.*MELLITUS",FALSE
"102","A1C","Z8632","PERSONAL HISTORY OF GESTATIONAL DIABETES","DIABETES; GESTATIONAL.*DIABETES",FALSE
"103","ALB","E860","DEHYDRATION","DEHYDRATION",FALSE
"104","BMI","E6601","MORBID (SEVERE) OBESITY DUE TO EXCESS CALORIES","OBESITY; MORBID.*OBESITY; SEVERE.*OBESITY; OBESITY.*DUE.*TO.*EXCESS.*CALORIES",TRUE
"105","BMI","E6609","OTHER OBESITY DUE TO EXCESS CALORIES","OBESITY; OBESITY.*DUE.*TO.*EXCESS.*CALORIES",TRUE
"106","BMI","E663","OVERWEIGHT","OVERWEIGHT",TRUE
"107","BMI","E668","Other obesity","OBESITY",TRUE
"108","BMI","E669","OBESITY, UNSPECIFIED","OBESITY",TRUE
"109","BMI","I119","HYPERTENSIVE HEART DISEASE WITHOUT HEART FAILURE","WITH.*HEART.*FAILURE",FALSE
"110","BMI","O2600","EXCESSIVE WEIGHT GAIN IN PREGNANCY, UNSPECIFIED TRIMESTER","EXCESSIVE.*WEIGHT; EXCESSIVE.*WEIGHT.*GAIN; EXCESS.*WEIGHT; EXCESSIVE.*WEIGHT.*UNSPECIFIED",FALSE
"111","BMI","O99210","OBESITY COMPLICATING PREGNANCY, UNSPECIFIED TRIMESTER","OBESITY",FALSE
"112","BMI","O99211","OBESITY COMPLICATING PREGNANCY, FIRST TRIMESTER","OBESITY",FALSE
"113","BMI","O99212","OBESITY COMPLICATING PREGNANCY, SECOND TRIMESTER","OBESITY",FALSE
"114","BMI","O99213","OBESITY COMPLICATING PREGNANCY, THIRD TRIMESTER","OBESITY",FALSE
"115","BP_DIASTOLIC","G932","BENIGN INTRACRANIAL HYPERTENSION","HYPERTENSION; BENIGN.*HYPERTENSION",FALSE
"116","BP_DIASTOLIC","H40053","OCULAR HYPERTENSION, BILATERAL","HYPERTENSION",FALSE
"117","BP_DIASTOLIC","I10","ESSENTIAL (PRIMARY) HYPERTENSION","HYPERTENSION; ESSENTIAL.*HYPERTENSION",TRUE
"118","BP_DIASTOLIC","I119","HYPERTENSIVE HEART DISEASE WITHOUT HEART FAILURE","HYPERTENSIVE.*HEART.*DISEASE; HYPERTENSIVE.*DISEASE",TRUE
"119","BP_DIASTOLIC","I120","HYPERTENSIVE CHRONIC KIDNEY DISEASE WITH STAGE 5 CHRONIC KIDNEY DISEASE OR END STAGE RENAL DISEASE","HYPERTENSIVE.*RENAL.*DISEASE; HYPERTENSIVE.*DISEASE",TRUE
"120","BP_DIASTOLIC","I129","HYPERTENSIVE CHRONIC KIDNEY DISEASE WITH STAGE 1 THROUGH STAGE 4 CHRONIC KIDNEY DISEASE, OR UNSPECIFIED CHRONIC KIDNEY DISEASE","HYPERTENSIVE.*DISEASE",TRUE
"121","BP_DIASTOLIC","I150","RENOVASCULAR HYPERTENSION","HYPERTENSION",TRUE
"122","BP_DIASTOLIC","I151","HYPERTENSION SECONDARY TO OTHER RENAL DISORDERS","HYPERTENSION",TRUE
"123","BP_DIASTOLIC","I152","HYPERTENSION SECONDARY TO ENDOCRINE DISORDERS","HYPERTENSION",TRUE
"124","BP_DIASTOLIC","I158","OTHER SECONDARY HYPERTENSION","HYPERTENSION; SECONDARY.*HYPERTENSION",TRUE
"125","BP_DIASTOLIC","I159","SECONDARY HYPERTENSION, UNSPECIFIED","HYPERTENSION; SECONDARY.*HYPERTENSION; SECONDARY.*HYPERTENSION.*UNSPECIFIED",TRUE
"126","BP_DIASTOLIC","I160","HYPERTENSIVE URGENCY","HYPERTENSIVE.*URGENCY",TRUE
"127","BP_DIASTOLIC","I161","HYPERTENSIVE EMERGENCY","HYPERTENSIVE.*EMERGENCY",TRUE
"128","BP_DIASTOLIC","I2720","PULMONARY HYPERTENSION, UNSPECIFIED","HYPERTENSION; PULMONARY.*HYPERTENSION",FALSE
"129","BP_DIASTOLIC","I2729","OTHER SECONDARY PULMONARY HYPERTENSION","HYPERTENSION; SECONDARY.*HYPERTENSION; PULMONARY.*HYPERTENSION",FALSE
"130","BP_DIASTOLIC","I87301","CHRONIC VENOUS HYPERTENSION (IDIOPATHIC) WITHOUT COMPLICATIONS OF RIGHT LOWER EXTREMITY","HYPERTENSION",FALSE
"131","BP_DIASTOLIC","I87303","CHRONIC VENOUS HYPERTENSION (IDIOPATHIC) WITHOUT COMPLICATIONS OF BILATERAL LOWER EXTREMITY","HYPERTENSION",FALSE
"132","BP_DIASTOLIC","I87309","CHRONIC VENOUS HYPERTENSION (IDIOPATHIC) WITHOUT COMPLICATIONS OF UNSPECIFIED LOWER EXTREMITY","HYPERTENSION",FALSE
"133","BP_DIASTOLIC","I87322","CHRONIC VENOUS HYPERTENSION (IDIOPATHIC) WITH INFLAMMATION OF LEFT LOWER EXTREMITY","HYPERTENSION",FALSE
"134","BP_DIASTOLIC","O10012","PRE-EXISTING ESSENTIAL HYPERTENSION COMPLICATING PREGNANCY, SECOND TRIMESTER","HYPERTENSION; ESSENTIAL.*HYPERTENSION",FALSE
"135","BP_DIASTOLIC","O10013","PRE-EXISTING ESSENTIAL HYPERTENSION COMPLICATING PREGNANCY, THIRD TRIMESTER","HYPERTENSION; ESSENTIAL.*HYPERTENSION",FALSE
"136","BP_DIASTOLIC","O10019","PRE-EXISTING ESSENTIAL HYPERTENSION COMPLICATING PREGNANCY, UNSPECIFIED TRIMESTER","HYPERTENSION; ESSENTIAL.*HYPERTENSION; ESSENTIAL.*HYPERTENSION.*UNSPECIFIED",FALSE
"137","BP_DIASTOLIC","O10911","UNSPECIFIED PRE-EXISTING HYPERTENSION COMPLICATING PREGNANCY, FIRST TRIMESTER","HYPERTENSION",FALSE
"138","BP_DIASTOLIC","O10913","UNSPECIFIED PRE-EXISTING HYPERTENSION COMPLICATING PREGNANCY, THIRD TRIMESTER","HYPERTENSION",FALSE
"139","BP_DIASTOLIC","O10919","UNSPECIFIED PRE-EXISTING HYPERTENSION COMPLICATING PREGNANCY, UNSPECIFIED TRIMESTER","HYPERTENSION",FALSE
"140","BP_DIASTOLIC","O133","GESTATIONAL [PREGNANCY-INDUCED] HYPERTENSION WITHOUT SIGNIFICANT PROTEINURIA, THIRD TRIMESTER","HYPERTENSION",FALSE
"141","BP_DIASTOLIC","O139","GESTATIONAL [PREGNANCY-INDUCED] HYPERTENSION WITHOUT SIGNIFICANT PROTEINURIA, UNSPECIFIED TRIMESTER","HYPERTENSION",FALSE
"142","BP_DIASTOLIC","O161","UNSPECIFIED MATERNAL HYPERTENSION, FIRST TRIMESTER","HYPERTENSION",FALSE
"143","BP_DIASTOLIC","O163","UNSPECIFIED MATERNAL HYPERTENSION, THIRD TRIMESTER","HYPERTENSION",FALSE
"144","BP_DIASTOLIC","O165","UNSPECIFIED MATERNAL HYPERTENSION, COMPLICATING THE PUERPERIUM","HYPERTENSION",FALSE
"145","BP_DIASTOLIC","R030","ELEVATED BLOOD-PRESSURE READING, WITHOUT DIAGNOSIS OF HYPERTENSION","HYPERTENSION; ELEVATED.*BLOOD.*PRESSURE",FALSE
"146","BP_SYSTOLIC","G932","BENIGN INTRACRANIAL HYPERTENSION","HYPERTENSION; BENIGN.*HYPERTENSION",FALSE
"147","BP_SYSTOLIC","H40053","OCULAR HYPERTENSION, BILATERAL","HYPERTENSION",FALSE
"148","BP_SYSTOLIC","I10","ESSENTIAL (PRIMARY) HYPERTENSION","HYPERTENSION; ESSENTIAL.*HYPERTENSION",TRUE
"149","BP_SYSTOLIC","I119","HYPERTENSIVE HEART DISEASE WITHOUT HEART FAILURE","HYPERTENSIVE.*HEART.*DISEASE; HYPERTENSIVE.*DISEASE",TRUE
"150","BP_SYSTOLIC","I120","HYPERTENSIVE CHRONIC KIDNEY DISEASE WITH STAGE 5 CHRONIC KIDNEY DISEASE OR END STAGE RENAL DISEASE","HYPERTENSIVE.*RENAL.*DISEASE; HYPERTENSIVE.*DISEASE",TRUE
"151","BP_SYSTOLIC","I129","HYPERTENSIVE CHRONIC KIDNEY DISEASE WITH STAGE 1 THROUGH STAGE 4 CHRONIC KIDNEY DISEASE, OR UNSPECIFIED CHRONIC KIDNEY DISEASE","HYPERTENSIVE.*DISEASE",TRUE
"152","BP_SYSTOLIC","I150","RENOVASCULAR HYPERTENSION","HYPERTENSION",TRUE
"153","BP_SYSTOLIC","I151","HYPERTENSION SECONDARY TO OTHER RENAL DISORDERS","HYPERTENSION",TRUE
"154","BP_SYSTOLIC","I152","HYPERTENSION SECONDARY TO ENDOCRINE DISORDERS","HYPERTENSION",TRUE
"155","BP_SYSTOLIC","I158","OTHER SECONDARY HYPERTENSION","HYPERTENSION; SECONDARY.*HYPERTENSION",TRUE
"156","BP_SYSTOLIC","I159","SECONDARY HYPERTENSION, UNSPECIFIED","HYPERTENSION; SECONDARY.*HYPERTENSION; SECONDARY.*HYPERTENSION.*UNSPECIFIED",TRUE
"157","BP_SYSTOLIC","I160","HYPERTENSIVE URGENCY","HYPERTENSIVE.*URGENCY",TRUE
"158","BP_SYSTOLIC","I161","HYPERTENSIVE EMERGENCY","HYPERTENSIVE.*EMERGENCY",TRUE
"159","BP_SYSTOLIC","I2720","PULMONARY HYPERTENSION, UNSPECIFIED","HYPERTENSION; PULMONARY.*HYPERTENSION",FALSE
"160","BP_SYSTOLIC","I2729","OTHER SECONDARY PULMONARY HYPERTENSION","HYPERTENSION; SECONDARY.*HYPERTENSION; PULMONARY.*HYPERTENSION",FALSE
"161","BP_SYSTOLIC","I87301","CHRONIC VENOUS HYPERTENSION (IDIOPATHIC) WITHOUT COMPLICATIONS OF RIGHT LOWER EXTREMITY","HYPERTENSION",FALSE
"162","BP_SYSTOLIC","I87303","CHRONIC VENOUS HYPERTENSION (IDIOPATHIC) WITHOUT COMPLICATIONS OF BILATERAL LOWER EXTREMITY","HYPERTENSION",FALSE
"163","BP_SYSTOLIC","I87309","CHRONIC VENOUS HYPERTENSION (IDIOPATHIC) WITHOUT COMPLICATIONS OF UNSPECIFIED LOWER EXTREMITY","HYPERTENSION",FALSE
"164","BP_SYSTOLIC","I87322","CHRONIC VENOUS HYPERTENSION (IDIOPATHIC) WITH INFLAMMATION OF LEFT LOWER EXTREMITY","HYPERTENSION",FALSE
"165","BP_SYSTOLIC","O10012","PRE-EXISTING ESSENTIAL HYPERTENSION COMPLICATING PREGNANCY, SECOND TRIMESTER","HYPERTENSION; ESSENTIAL.*HYPERTENSION",FALSE
"166","BP_SYSTOLIC","O10013","PRE-EXISTING ESSENTIAL HYPERTENSION COMPLICATING PREGNANCY, THIRD TRIMESTER","HYPERTENSION; ESSENTIAL.*HYPERTENSION",FALSE
"167","BP_SYSTOLIC","O10019","PRE-EXISTING ESSENTIAL HYPERTENSION COMPLICATING PREGNANCY, UNSPECIFIED TRIMESTER","HYPERTENSION; ESSENTIAL.*HYPERTENSION; ESSENTIAL.*HYPERTENSION.*UNSPECIFIED",FALSE
"168","BP_SYSTOLIC","O10911","UNSPECIFIED PRE-EXISTING HYPERTENSION COMPLICATING PREGNANCY, FIRST TRIMESTER","HYPERTENSION",FALSE
"169","BP_SYSTOLIC","O10913","UNSPECIFIED PRE-EXISTING HYPERTENSION COMPLICATING PREGNANCY, THIRD TRIMESTER","HYPERTENSION",FALSE
"170","BP_SYSTOLIC","O10919","UNSPECIFIED PRE-EXISTING HYPERTENSION COMPLICATING PREGNANCY, UNSPECIFIED TRIMESTER","HYPERTENSION",FALSE
"171","BP_SYSTOLIC","O133","GESTATIONAL [PREGNANCY-INDUCED] HYPERTENSION WITHOUT SIGNIFICANT PROTEINURIA, THIRD TRIMESTER","HYPERTENSION",FALSE
"172","BP_SYSTOLIC","O139","GESTATIONAL [PREGNANCY-INDUCED] HYPERTENSION WITHOUT SIGNIFICANT PROTEINURIA, UNSPECIFIED TRIMESTER","HYPERTENSION",FALSE
"173","BP_SYSTOLIC","O161","UNSPECIFIED MATERNAL HYPERTENSION, FIRST TRIMESTER","HYPERTENSION",FALSE
"174","BP_SYSTOLIC","O163","UNSPECIFIED MATERNAL HYPERTENSION, THIRD TRIMESTER","HYPERTENSION",FALSE
"175","BP_SYSTOLIC","O165","UNSPECIFIED MATERNAL HYPERTENSION, COMPLICATING THE PUERPERIUM","HYPERTENSION",FALSE
"176","BP_SYSTOLIC","R030","ELEVATED BLOOD-PRESSURE READING, WITHOUT DIAGNOSIS OF HYPERTENSION","HYPERTENSION; ELEVATED.*BLOOD.*PRESSURE",FALSE
"177","CHOL","E7800","PURE HYPERCHOLESTEROLEMIA, UNSPECIFIED","HYPERCHOLESTEROLEMIA",TRUE
"178","CHOL","E78010","Homozygous familial hypercholesterolemia [HoFH]","HYPERCHOLESTEROLEMIA",TRUE
"179","CHOL","E782","MIXED HYPERLIPIDEMIA","HYPERLIPIDEMIA",TRUE
"180","CHOL","E7849","OTHER HYPERLIPIDEMIA","HYPERLIPIDEMIA",TRUE
"181","CHOL","E785","HYPERLIPIDEMIA, UNSPECIFIED","HYPERLIPIDEMIA",TRUE
"182","CHOL","Z8342","FAMILY HISTORY OF FAMILIAL HYPERCHOLESTEROLEMIA","HYPERCHOLESTEROLEMIA",TRUE
"183","CREAT_C","E0821","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH DIABETIC NEPHROPATHY","NEPHROPATHY",TRUE
"184","CREAT_C","E1121","TYPE 2 DIABETES MELLITUS WITH DIABETIC NEPHROPATHY","NEPHROPATHY",TRUE
"185","CREAT_C","I120","HYPERTENSIVE CHRONIC KIDNEY DISEASE WITH STAGE 5 CHRONIC KIDNEY DISEASE OR END STAGE RENAL DISEASE","END.*STAGE.*RENAL.*DISEASE; CHRONIC.*KIDNEY.*DISEASE.*STAGE.*5; CHRONIC.*KIDNEY.*DISEASE.*STAGE.*5",TRUE
"186","CREAT_C","I129","HYPERTENSIVE CHRONIC KIDNEY DISEASE WITH STAGE 1 THROUGH STAGE 4 CHRONIC KIDNEY DISEASE, OR UNSPECIFIED CHRONIC KIDNEY DISEASE","CHRONIC.*KIDNEY.*DISEASE.*STAGE.*1; CHRONIC.*KIDNEY.*DISEASE.*STAGE.*4",TRUE
"187","CREAT_C","M10371","GOUT DUE TO RENAL IMPAIRMENT, RIGHT ANKLE AND FOOT","RENAL.*IMPAIRMENT",TRUE
"188","CREAT_C","M10372","GOUT DUE TO RENAL IMPAIRMENT, LEFT ANKLE AND FOOT","RENAL.*IMPAIRMENT",TRUE
"189","CREAT_C","M1A3710","CHRONIC GOUT DUE TO RENAL IMPAIRMENT, RIGHT ANKLE AND FOOT, WITHOUT TOPHUS (TOPHI)","RENAL.*IMPAIRMENT",TRUE
"190","CREAT_C","N141","Nephropathy induced by other drugs, medicaments and biological substances","NEPHROPATHY",FALSE
"191","CREAT_C","N170","ACUTE KIDNEY FAILURE WITH TUBULAR NECROSIS","KIDNEY.*FAILURE; ACUTE.*TUBULAR.*NECROSIS",TRUE
"192","CREAT_C","N179","ACUTE KIDNEY FAILURE, UNSPECIFIED","KIDNEY.*FAILURE",TRUE
"193","CREAT_C","N181","CHRONIC KIDNEY DISEASE, STAGE 1","CHRONIC.*KIDNEY.*DISEASE.*STAGE.*1",TRUE
"194","CREAT_C","N182","CHRONIC KIDNEY DISEASE, STAGE 2 (MILD)","CHRONIC.*KIDNEY.*DISEASE.*STAGE.*2; CHRONIC.*KIDNEY.*DISEASE.*MILD",TRUE
"195","CREAT_C","N1830","CHRONIC KIDNEY DISEASE, STAGE 3 UNSPECIFIED","CHRONIC.*KIDNEY.*DISEASE.*STAGE.*3",TRUE
"196","CREAT_C","N1830","CHRONIC KIDNEY DISEASE, STAGE 3 UNSPECIFIED","CHRONIC.*KIDNEY.*DISEASE.*STAGE.*3",TRUE
"197","CREAT_C","N1830","Chronic kidney disease, stage 3 unspecified","CHRONIC.*KIDNEY.*DISEASE.*STAGE.*3",TRUE
"198","CREAT_C","N1830","Chronic kidney disease, stage 3 unspecified","CHRONIC.*KIDNEY.*DISEASE.*STAGE.*3",TRUE
"199","CREAT_C","N1831","CHRONIC KIDNEY DISEASE, STAGE 3A","CHRONIC.*KIDNEY.*DISEASE.*STAGE.*3",TRUE
"200","CREAT_C","N184","CHRONIC KIDNEY DISEASE, STAGE 4 (SEVERE)","CHRONIC.*KIDNEY.*DISEASE.*STAGE.*4; CHRONIC.*KIDNEY.*DISEASE.*SEVERE",TRUE
"201","CREAT_C","N185","CHRONIC KIDNEY DISEASE, STAGE 5","CHRONIC.*KIDNEY.*DISEASE.*STAGE.*5; CHRONIC.*KIDNEY.*DISEASE.*STAGE.*5",TRUE
"202","CREAT_C","N186","END STAGE RENAL DISEASE","END.*STAGE.*RENAL.*DISEASE",TRUE
"203","CRP","A029","SALMONELLA INFECTION, UNSPECIFIED","INFECTION",FALSE
"204","CRP","A040","ENTEROPATHOGENIC ESCHERICHIA COLI INFECTION","INFECTION",FALSE
"205","CRP","A048","OTHER SPECIFIED BACTERIAL INTESTINAL INFECTIONS","INFECTION; BACTERIAL.*INFECTION",FALSE
"206","CRP","A049","BACTERIAL INTESTINAL INFECTION, UNSPECIFIED","INFECTION; BACTERIAL.*INFECTION",FALSE
"207","CRP","A084","VIRAL INTESTINAL INFECTION, UNSPECIFIED","INFECTION; VIRAL.*INFECTION",FALSE
"208","CRP","A4101","SEPSIS DUE TO METHICILLIN SUSCEPTIBLE STAPHYLOCOCCUS AUREUS","SEPSIS",FALSE
"209","CRP","A419","SEPSIS, UNSPECIFIED ORGANISM","SEPSIS",FALSE
"210","CRP","A499","BACTERIAL INFECTION, UNSPECIFIED","INFECTION; BACTERIAL.*INFECTION",FALSE
"211","CRP","A549","GONOCOCCAL INFECTION, UNSPECIFIED","INFECTION",FALSE
"212","CRP","A568","SEXUALLY TRANSMITTED CHLAMYDIAL INFECTION OF OTHER SITES","INFECTION",FALSE
"213","CRP","A6000","HERPESVIRAL INFECTION OF UROGENITAL SYSTEM, UNSPECIFIED","INFECTION; VIRAL.*INFECTION",FALSE
"214","CRP","A6001","HERPESVIRAL INFECTION OF PENIS","INFECTION; VIRAL.*INFECTION",FALSE
"215","CRP","A6002","HERPESVIRAL INFECTION OF OTHER MALE GENITAL ORGANS","INFECTION; VIRAL.*INFECTION",FALSE
"216","CRP","A6009","HERPESVIRAL INFECTION OF OTHER UROGENITAL TRACT","INFECTION; VIRAL.*INFECTION",FALSE
"217","CRP","A601","HERPESVIRAL INFECTION OF PERIANAL SKIN AND RECTUM","INFECTION; VIRAL.*INFECTION",FALSE
"218","CRP","A749","CHLAMYDIAL INFECTION, UNSPECIFIED","INFECTION",FALSE
"219","CRP","B0089","OTHER HERPESVIRAL INFECTION","INFECTION; VIRAL.*INFECTION",FALSE
"220","CRP","B009","HERPESVIRAL INFECTION, UNSPECIFIED","INFECTION; VIRAL.*INFECTION",FALSE
"221","CRP","B09","UNSPECIFIED VIRAL INFECTION CHARACTERIZED BY SKIN AND MUCOUS MEMBRANE LESIONS","INFECTION; VIRAL.*INFECTION",FALSE
"222","CRP","B348","OTHER VIRAL INFECTIONS OF UNSPECIFIED SITE","INFECTION; VIRAL.*INFECTION",FALSE
"223","CRP","B349","VIRAL INFECTION, UNSPECIFIED","INFECTION; VIRAL.*INFECTION",FALSE
"224","CRP","B9561","METHICILLIN SUSCEPTIBLE STAPHYLOCOCCUS AUREUS INFECTION AS THE CAUSE OF DISEASES CLASSIFIED ELSEWHERE","INFECTION",FALSE
"225","CRP","B9562","METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS INFECTION AS THE CAUSE OF DISEASES CLASSIFIED ELSEWHERE","INFECTION",FALSE
"226","CRP","E790","HYPERURICEMIA WITHOUT SIGNS OF INFLAMMATORY ARTHRITIS AND TOPHACEOUS DISEASE","INFLAMMATORY.*ARTHRITIS; INFLAMMATORY.*DISEASE",FALSE
"227","CRP","J069","ACUTE UPPER RESPIRATORY INFECTION, UNSPECIFIED","INFECTION",FALSE
"228","CRP","J22","UNSPECIFIED ACUTE LOWER RESPIRATORY INFECTION","INFECTION",FALSE
"229","CRP","J440","CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH (ACUTE) LOWER RESPIRATORY INFECTION","INFECTION",FALSE
"230","CRP","K660","PERITONEAL ADHESIONS (POSTPROCEDURAL) (POSTINFECTION)","INFECTION",FALSE
"231","CRP","K759","INFLAMMATORY LIVER DISEASE, UNSPECIFIED","INFLAMMATORY.*DISEASE",FALSE
"232","CRP","K8500","IDIOPATHIC ACUTE PANCREATITIS WITHOUT NECROSIS OR INFECTION","INFECTION",FALSE
"233","CRP","K8510","BILIARY ACUTE PANCREATITIS WITHOUT NECROSIS OR INFECTION","INFECTION",FALSE
"234","CRP","K8520","ALCOHOL INDUCED ACUTE PANCREATITIS WITHOUT NECROSIS OR INFECTION","INFECTION",FALSE
"235","CRP","K8590","ACUTE PANCREATITIS WITHOUT NECROSIS OR INFECTION, UNSPECIFIED","INFECTION",FALSE
"236","CRP","L089","LOCAL INFECTION OF THE SKIN AND SUBCUTANEOUS TISSUE, UNSPECIFIED","INFECTION",FALSE
"237","CRP","L930","DISCOID LUPUS ERYTHEMATOSUS","LUPUS",FALSE
"238","CRP","L932","OTHER LOCAL LUPUS ERYTHEMATOSUS","LUPUS",FALSE
"239","CRP","M01X9","DIRECT INFECTION OF MULTIPLE JOINTS IN INFECTIOUS AND PARASITIC DISEASES CLASSIFIED ELSEWHERE","INFECTION",FALSE
"240","CRP","M05741","RHEUMATOID ARTHRITIS WITH RHEUMATOID FACTOR OF RIGHT HAND WITHOUT ORGAN OR SYSTEMS INVOLVEMENT","RHEUMATOID.*ARTHRITIS",FALSE
"241","CRP","M05742","RHEUMATOID ARTHRITIS WITH RHEUMATOID FACTOR OF LEFT HAND WITHOUT ORGAN OR SYSTEMS INVOLVEMENT","RHEUMATOID.*ARTHRITIS",FALSE
"242","CRP","M0579","RHEUMATOID ARTHRITIS WITH RHEUMATOID FACTOR OF MULTIPLE SITES WITHOUT ORGAN OR SYSTEMS INVOLVEMENT","RHEUMATOID.*ARTHRITIS",FALSE
"243","CRP","M059","RHEUMATOID ARTHRITIS WITH RHEUMATOID FACTOR, UNSPECIFIED","RHEUMATOID.*ARTHRITIS",FALSE
"244","CRP","M0600","RHEUMATOID ARTHRITIS WITHOUT RHEUMATOID FACTOR, UNSPECIFIED SITE","RHEUMATOID.*ARTHRITIS",FALSE
"245","CRP","M069","RHEUMATOID ARTHRITIS, UNSPECIFIED","RHEUMATOID.*ARTHRITIS",FALSE
"246","CRP","M320","DRUG-INDUCED SYSTEMIC LUPUS ERYTHEMATOSUS","LUPUS",FALSE
"247","CRP","M3210","SYSTEMIC LUPUS ERYTHEMATOSUS, ORGAN OR SYSTEM INVOLVEMENT UNSPECIFIED","LUPUS",FALSE
"248","CRP","M3212","PERICARDITIS IN SYSTEMIC LUPUS ERYTHEMATOSUS","LUPUS",FALSE
"249","CRP","M3213","LUNG INVOLVEMENT IN SYSTEMIC LUPUS ERYTHEMATOSUS","LUPUS",FALSE
"250","CRP","M3214","GLOMERULAR DISEASE IN SYSTEMIC LUPUS ERYTHEMATOSUS","LUPUS",FALSE
"251","CRP","M3219","OTHER ORGAN OR SYSTEM INVOLVEMENT IN SYSTEMIC LUPUS ERYTHEMATOSUS","LUPUS",FALSE
"252","CRP","M329","SYSTEMIC LUPUS ERYTHEMATOSUS, UNSPECIFIED","LUPUS",FALSE
"253","CRP","N390","URINARY TRACT INFECTION, SITE NOT SPECIFIED","INFECTION",FALSE
"254","CRP","N419","INFLAMMATORY DISEASE OF PROSTATE, UNSPECIFIED","INFLAMMATORY.*STATE; INFLAMMATORY.*DISEASE",FALSE
"255","CRP","N72","INFLAMMATORY DISEASE OF CERVIX UTERI","INFLAMMATORY.*DISEASE",FALSE
"256","CRP","N739","FEMALE PELVIC INFLAMMATORY DISEASE, UNSPECIFIED","INFLAMMATORY.*DISEASE",FALSE
"257","CRP","O2341","UNSPECIFIED INFECTION OF URINARY TRACT IN PREGNANCY, FIRST TRIMESTER","INFECTION",FALSE
"258","CRP","O2343","UNSPECIFIED INFECTION OF URINARY TRACT IN PREGNANCY, THIRD TRIMESTER","INFECTION",FALSE
"259","CRP","O98311","OTHER INFECTIONS WITH A PREDOMINANTLY SEXUAL MODE OF TRANSMISSION COMPLICATING PREGNANCY, FIRST TRIMESTER","INFECTION",FALSE
"260","CRP","R6520","SEVERE SEPSIS WITHOUT SEPTIC SHOCK","SEPSIS",FALSE
"261","CRP","R7982","ELEVATED C-REACTIVE PROTEIN (CRP)","ELEVATED.*CRP",FALSE
"262","CRP","T80219A","UNSPECIFIED INFECTION DUE TO CENTRAL VENOUS CATHETER, INITIAL ENCOUNTER","INFECTION",FALSE
"263","CRP","T8149XA","INFECTION FOLLOWING A PROCEDURE, OTHER SURGICAL SITE, INITIAL ENCOUNTER","INFECTION",FALSE
"264","CRP","T826XXD","INFECTION AND INFLAMMATORY REACTION DUE TO CARDIAC VALVE PROSTHESIS, SUBSEQUENT ENCOUNTER","INFECTION",FALSE
"265","CRP","Z113","ENCOUNTER FOR SCREENING FOR INFECTIONS WITH A PREDOMINANTLY SEXUAL MODE OF TRANSMISSION","INFECTION",FALSE
"266","CRP","Z202","CONTACT WITH AND (SUSPECTED) EXPOSURE TO INFECTIONS WITH A PREDOMINANTLY SEXUAL MODE OF TRANSMISSION","INFECTION",FALSE
"267","CRP","Z21","ASYMPTOMATIC HUMAN IMMUNODEFICIENCY VIRUS [HIV] INFECTION STATUS","INFECTION",FALSE
"268","CRP","Z8615","PERSONAL HISTORY OF LATENT TUBERCULOSIS INFECTION","INFECTION",FALSE
"269","CRP","Z87440","PERSONAL HISTORY OF URINARY (TRACT) INFECTIONS","INFECTION",FALSE
"270","HCST","D510","VITAMIN B12 DEFICIENCY ANEMIA DUE TO INTRINSIC FACTOR DEFICIENCY","VITAMIN.*DEFICIENCY; VITAMIN.*B12.*DEFICIENCY",FALSE
"271","HCST","D519","VITAMIN B12 DEFICIENCY ANEMIA, UNSPECIFIED","VITAMIN.*DEFICIENCY; VITAMIN.*B12.*DEFICIENCY; VITAMIN.*B12.*DEFICIENCY.*UNSPECIFIED",FALSE
"272","HCST","E539","VITAMIN B DEFICIENCY, UNSPECIFIED","VITAMIN.*DEFICIENCY",FALSE
"273","HCST","E559","VITAMIN D DEFICIENCY, UNSPECIFIED","VITAMIN.*DEFICIENCY",FALSE
"274","HCST","E569","VITAMIN DEFICIENCY, UNSPECIFIED","VITAMIN.*DEFICIENCY",FALSE
"275","TRIG","E782","MIXED HYPERLIPIDEMIA","HYPERLIPIDEMIA",TRUE
"276","TRIG","E7849","OTHER HYPERLIPIDEMIA","HYPERLIPIDEMIA",FALSE
"277","TRIG","E785","HYPERLIPIDEMIA, UNSPECIFIED","HYPERLIPIDEMIA",FALSE
