"","Variable_Name","DX_CODE","DX_DESC","matched_terms_llm_context_clinician"
"102","BMI","E6609","OTHER OBESITY DUE TO EXCESS CALORIES","OBESITY; OBESITY.*DUE.*TO.*EXCESS.*CALORIES"
"103","BMI","E663","OVERWEIGHT","OVERWEIGHT"
"104","BMI","E668","Other obesity","OBESITY"
"105","BMI","E669","OBESITY, UNSPECIFIED","OBESITY"
"106","BMI","O2600","EXCESSIVE WEIGHT GAIN IN PREGNANCY, UNSPECIFIED TRIMESTER","EXCESSIVE.*WEIGHT; EXCESSIVE.*WEIGHT.*GAIN; EXCESS.*WEIGHT; EXCESSIVE.*WEIGHT.*UNSPECIFIED"
"107","BMI","O99210","OBESITY COMPLICATING PREGNANCY, UNSPECIFIED TRIMESTER","OBESITY"
"108","BMI","O99211","OBESITY COMPLICATING PREGNANCY, FIRST TRIMESTER","OBESITY"
"109","BMI","O99212","OBESITY COMPLICATING PREGNANCY, SECOND TRIMESTER","OBESITY"
"110","BMI","O99213","OBESITY COMPLICATING PREGNANCY, THIRD TRIMESTER","OBESITY"
"111","BP_DIASTOLIC","I10","ESSENTIAL (PRIMARY) HYPERTENSION","HYPERTENSION; ESSENTIAL.*HYPERTENSION"
"112","BP_DIASTOLIC","I119","HYPERTENSIVE HEART DISEASE WITHOUT HEART FAILURE","HYPERTENSIVE.*HEART.*DISEASE; HYPERTENSIVE.*DISEASE"
"113","BP_DIASTOLIC","I120","HYPERTENSIVE CHRONIC KIDNEY DISEASE WITH STAGE 5 CHRONIC KIDNEY DISEASE OR END STAGE RENAL DISEASE","HYPERTENSIVE.*RENAL.*DISEASE; HYPERTENSIVE.*DISEASE"
"114","BP_DIASTOLIC","I129","HYPERTENSIVE CHRONIC KIDNEY DISEASE WITH STAGE 1 THROUGH STAGE 4 CHRONIC KIDNEY DISEASE, OR UNSPECIFIED CHRONIC KIDNEY DISEASE","HYPERTENSIVE.*DISEASE"
"115","BP_DIASTOLIC","I150","RENOVASCULAR HYPERTENSION","HYPERTENSION"
"116","BP_DIASTOLIC","I151","HYPERTENSION SECONDARY TO OTHER RENAL DISORDERS","HYPERTENSION"
"117","BP_DIASTOLIC","I152","HYPERTENSION SECONDARY TO ENDOCRINE DISORDERS","HYPERTENSION"
"118","BP_DIASTOLIC","I158","OTHER SECONDARY HYPERTENSION","HYPERTENSION; SECONDARY.*HYPERTENSION"
"119","BP_DIASTOLIC","I159","SECONDARY HYPERTENSION, UNSPECIFIED","HYPERTENSION; SECONDARY.*HYPERTENSION; SECONDARY.*HYPERTENSION.*UNSPECIFIED"
"120","BP_DIASTOLIC","I160","HYPERTENSIVE URGENCY","HYPERTENSIVE.*URGENCY"
"121","BP_DIASTOLIC","I161","HYPERTENSIVE EMERGENCY","HYPERTENSIVE.*EMERGENCY"
"122","BP_DIASTOLIC","I87303","CHRONIC VENOUS HYPERTENSION (IDIOPATHIC) WITHOUT COMPLICATIONS OF BILATERAL LOWER EXTREMITY","HYPERTENSION"
"123","BP_DIASTOLIC","I87309","CHRONIC VENOUS HYPERTENSION (IDIOPATHIC) WITHOUT COMPLICATIONS OF UNSPECIFIED LOWER EXTREMITY","HYPERTENSION"
"124","BP_DIASTOLIC","O10012","PRE-EXISTING ESSENTIAL HYPERTENSION COMPLICATING PREGNANCY, SECOND TRIMESTER","HYPERTENSION; ESSENTIAL.*HYPERTENSION"
"125","BP_DIASTOLIC","O10013","PRE-EXISTING ESSENTIAL HYPERTENSION COMPLICATING PREGNANCY, THIRD TRIMESTER","HYPERTENSION; ESSENTIAL.*HYPERTENSION"
"126","BP_DIASTOLIC","O10019","PRE-EXISTING ESSENTIAL HYPERTENSION COMPLICATING PREGNANCY, UNSPECIFIED TRIMESTER","HYPERTENSION; ESSENTIAL.*HYPERTENSION; ESSENTIAL.*HYPERTENSION.*UNSPECIFIED"
"127","BP_DIASTOLIC","O10911","UNSPECIFIED PRE-EXISTING HYPERTENSION COMPLICATING PREGNANCY, FIRST TRIMESTER","HYPERTENSION"
"128","BP_DIASTOLIC","O10913","UNSPECIFIED PRE-EXISTING HYPERTENSION COMPLICATING PREGNANCY, THIRD TRIMESTER","HYPERTENSION"
"129","BP_DIASTOLIC","O10919","UNSPECIFIED PRE-EXISTING HYPERTENSION COMPLICATING PREGNANCY, UNSPECIFIED TRIMESTER","HYPERTENSION"
"130","BP_DIASTOLIC","O133","GESTATIONAL [PREGNANCY-INDUCED] HYPERTENSION WITHOUT SIGNIFICANT PROTEINURIA, THIRD TRIMESTER","HYPERTENSION"
"131","BP_DIASTOLIC","O139","GESTATIONAL [PREGNANCY-INDUCED] HYPERTENSION WITHOUT SIGNIFICANT PROTEINURIA, UNSPECIFIED TRIMESTER","HYPERTENSION"
"132","BP_DIASTOLIC","O161","UNSPECIFIED MATERNAL HYPERTENSION, FIRST TRIMESTER","HYPERTENSION"
"133","BP_DIASTOLIC","O163","UNSPECIFIED MATERNAL HYPERTENSION, THIRD TRIMESTER","HYPERTENSION"
"134","BP_DIASTOLIC","O165","UNSPECIFIED MATERNAL HYPERTENSION, COMPLICATING THE PUERPERIUM","HYPERTENSION"
"135","BP_DIASTOLIC","R030","ELEVATED BLOOD-PRESSURE READING, WITHOUT DIAGNOSIS OF HYPERTENSION","HYPERTENSION; ELEVATED.*BLOOD.*PRESSURE"
"136","BP_SYSTOLIC","I10","ESSENTIAL (PRIMARY) HYPERTENSION","HYPERTENSION; ESSENTIAL.*HYPERTENSION"
"137","BP_SYSTOLIC","I119","HYPERTENSIVE HEART DISEASE WITHOUT HEART FAILURE","HYPERTENSIVE.*HEART.*DISEASE; HYPERTENSIVE.*DISEASE"
"138","BP_SYSTOLIC","I120","HYPERTENSIVE CHRONIC KIDNEY DISEASE WITH STAGE 5 CHRONIC KIDNEY DISEASE OR END STAGE RENAL DISEASE","HYPERTENSIVE.*RENAL.*DISEASE; HYPERTENSIVE.*DISEASE"
"139","BP_SYSTOLIC","I129","HYPERTENSIVE CHRONIC KIDNEY DISEASE WITH STAGE 1 THROUGH STAGE 4 CHRONIC KIDNEY DISEASE, OR UNSPECIFIED CHRONIC KIDNEY DISEASE","HYPERTENSIVE.*DISEASE"
"140","BP_SYSTOLIC","I150","RENOVASCULAR HYPERTENSION","HYPERTENSION"
"141","BP_SYSTOLIC","I151","HYPERTENSION SECONDARY TO OTHER RENAL DISORDERS","HYPERTENSION"
"142","BP_SYSTOLIC","I152","HYPERTENSION SECONDARY TO ENDOCRINE DISORDERS","HYPERTENSION"
"143","BP_SYSTOLIC","I158","OTHER SECONDARY HYPERTENSION","HYPERTENSION; SECONDARY.*HYPERTENSION"
"144","BP_SYSTOLIC","I159","SECONDARY HYPERTENSION, UNSPECIFIED","HYPERTENSION; SECONDARY.*HYPERTENSION; SECONDARY.*HYPERTENSION.*UNSPECIFIED"
"145","BP_SYSTOLIC","I160","HYPERTENSIVE URGENCY","HYPERTENSIVE.*URGENCY"
"146","BP_SYSTOLIC","I161","HYPERTENSIVE EMERGENCY","HYPERTENSIVE.*EMERGENCY"
"147","BP_SYSTOLIC","I87303","CHRONIC VENOUS HYPERTENSION (IDIOPATHIC) WITHOUT COMPLICATIONS OF BILATERAL LOWER EXTREMITY","HYPERTENSION"
"148","BP_SYSTOLIC","I87309","CHRONIC VENOUS HYPERTENSION (IDIOPATHIC) WITHOUT COMPLICATIONS OF UNSPECIFIED LOWER EXTREMITY","HYPERTENSION"
"149","BP_SYSTOLIC","O10012","PRE-EXISTING ESSENTIAL HYPERTENSION COMPLICATING PREGNANCY, SECOND TRIMESTER","HYPERTENSION; ESSENTIAL.*HYPERTENSION"
"150","BP_SYSTOLIC","O10013","PRE-EXISTING ESSENTIAL HYPERTENSION COMPLICATING PREGNANCY, THIRD TRIMESTER","HYPERTENSION; ESSENTIAL.*HYPERTENSION"
"151","BP_SYSTOLIC","O10019","PRE-EXISTING ESSENTIAL HYPERTENSION COMPLICATING PREGNANCY, UNSPECIFIED TRIMESTER","HYPERTENSION; ESSENTIAL.*HYPERTENSION; ESSENTIAL.*HYPERTENSION.*UNSPECIFIED"
"152","BP_SYSTOLIC","O10911","UNSPECIFIED PRE-EXISTING HYPERTENSION COMPLICATING PREGNANCY, FIRST TRIMESTER","HYPERTENSION"
"153","BP_SYSTOLIC","O10913","UNSPECIFIED PRE-EXISTING HYPERTENSION COMPLICATING PREGNANCY, THIRD TRIMESTER","HYPERTENSION"
"154","BP_SYSTOLIC","O10919","UNSPECIFIED PRE-EXISTING HYPERTENSION COMPLICATING PREGNANCY, UNSPECIFIED TRIMESTER","HYPERTENSION"
"155","BP_SYSTOLIC","O133","GESTATIONAL [PREGNANCY-INDUCED] HYPERTENSION WITHOUT SIGNIFICANT PROTEINURIA, THIRD TRIMESTER","HYPERTENSION"
"156","BP_SYSTOLIC","O139","GESTATIONAL [PREGNANCY-INDUCED] HYPERTENSION WITHOUT SIGNIFICANT PROTEINURIA, UNSPECIFIED TRIMESTER","HYPERTENSION"
"157","BP_SYSTOLIC","O161","UNSPECIFIED MATERNAL HYPERTENSION, FIRST TRIMESTER","HYPERTENSION"
"158","BP_SYSTOLIC","O163","UNSPECIFIED MATERNAL HYPERTENSION, THIRD TRIMESTER","HYPERTENSION"
"159","BP_SYSTOLIC","O165","UNSPECIFIED MATERNAL HYPERTENSION, COMPLICATING THE PUERPERIUM","HYPERTENSION"
"160","BP_SYSTOLIC","R030","ELEVATED BLOOD-PRESSURE READING, WITHOUT DIAGNOSIS OF HYPERTENSION","HYPERTENSION; ELEVATED.*BLOOD.*PRESSURE"
"161","CHOL","E7800","PURE HYPERCHOLESTEROLEMIA, UNSPECIFIED","HYPERCHOLESTEROLEMIA"
"162","CHOL","E78010","Homozygous familial hypercholesterolemia [HoFH]","HYPERCHOLESTEROLEMIA"
"163","CHOL","E782","MIXED HYPERLIPIDEMIA","HYPERLIPIDEMIA"
"164","CHOL","E7849","OTHER HYPERLIPIDEMIA","HYPERLIPIDEMIA"
"165","CHOL","E785","HYPERLIPIDEMIA, UNSPECIFIED","HYPERLIPIDEMIA"
"166","CHOL","Z8342","FAMILY HISTORY OF FAMILIAL HYPERCHOLESTEROLEMIA","HYPERCHOLESTEROLEMIA"
"167","CREAT_C","E0821","DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH DIABETIC NEPHROPATHY","NEPHROPATHY"
"168","CREAT_C","I120","HYPERTENSIVE CHRONIC KIDNEY DISEASE WITH STAGE 5 CHRONIC KIDNEY DISEASE OR END STAGE RENAL DISEASE","END.*STAGE.*RENAL.*DISEASE; CHRONIC.*KIDNEY.*DISEASE.*STAGE.*5; CHRONIC.*KIDNEY.*DISEASE.*STAGE.*5"
"169","CREAT_C","I129","HYPERTENSIVE CHRONIC KIDNEY DISEASE WITH STAGE 1 THROUGH STAGE 4 CHRONIC KIDNEY DISEASE, OR UNSPECIFIED CHRONIC KIDNEY DISEASE","CHRONIC.*KIDNEY.*DISEASE.*STAGE.*1; CHRONIC.*KIDNEY.*DISEASE.*STAGE.*4"
"170","CREAT_C","M10372","GOUT DUE TO RENAL IMPAIRMENT, LEFT ANKLE AND FOOT","RENAL.*IMPAIRMENT"
"171","CREAT_C","N141","Nephropathy induced by other drugs, medicaments and biological substances","NEPHROPATHY"
"172","CREAT_C","N170","ACUTE KIDNEY FAILURE WITH TUBULAR NECROSIS","KIDNEY.*FAILURE; ACUTE.*TUBULAR.*NECROSIS"
"173","CREAT_C","N179","ACUTE KIDNEY FAILURE, UNSPECIFIED","KIDNEY.*FAILURE"
"174","CREAT_C","N181","CHRONIC KIDNEY DISEASE, STAGE 1","CHRONIC.*KIDNEY.*DISEASE.*STAGE.*1"
"175","CREAT_C","N182","CHRONIC KIDNEY DISEASE, STAGE 2 (MILD)","CHRONIC.*KIDNEY.*DISEASE.*STAGE.*2; CHRONIC.*KIDNEY.*DISEASE.*MILD"
"176","CREAT_C","N1830","CHRONIC KIDNEY DISEASE, STAGE 3 UNSPECIFIED","CHRONIC.*KIDNEY.*DISEASE.*STAGE.*3"
"177","CREAT_C","N1830","Chronic kidney disease, stage 3 unspecified","CHRONIC.*KIDNEY.*DISEASE.*STAGE.*3"
"178","CREAT_C","N1831","CHRONIC KIDNEY DISEASE, STAGE 3A","CHRONIC.*KIDNEY.*DISEASE.*STAGE.*3"
"179","CREAT_C","N184","CHRONIC KIDNEY DISEASE, STAGE 4 (SEVERE)","CHRONIC.*KIDNEY.*DISEASE.*STAGE.*4; CHRONIC.*KIDNEY.*DISEASE.*SEVERE"
"180","CREAT_C","N185","CHRONIC KIDNEY DISEASE, STAGE 5","CHRONIC.*KIDNEY.*DISEASE.*STAGE.*5; CHRONIC.*KIDNEY.*DISEASE.*STAGE.*5"
"181","CREAT_C","N186","END STAGE RENAL DISEASE","END.*STAGE.*RENAL.*DISEASE"
"182","CRP","A029","SALMONELLA INFECTION, UNSPECIFIED","INFECTION"
"183","CRP","A040","ENTEROPATHOGENIC ESCHERICHIA COLI INFECTION","INFECTION"
"184","CRP","A048","OTHER SPECIFIED BACTERIAL INTESTINAL INFECTIONS","INFECTION; BACTERIAL.*INFECTION"
"185","CRP","A049","BACTERIAL INTESTINAL INFECTION, UNSPECIFIED","INFECTION; BACTERIAL.*INFECTION"
"186","CRP","A084","VIRAL INTESTINAL INFECTION, UNSPECIFIED","INFECTION; VIRAL.*INFECTION"
"187","CRP","A4101","SEPSIS DUE TO METHICILLIN SUSCEPTIBLE STAPHYLOCOCCUS AUREUS","SEPSIS"
"188","CRP","A419","SEPSIS, UNSPECIFIED ORGANISM","SEPSIS"
"189","CRP","A499","BACTERIAL INFECTION, UNSPECIFIED","INFECTION; BACTERIAL.*INFECTION"
"190","CRP","A549","GONOCOCCAL INFECTION, UNSPECIFIED","INFECTION"
"191","CRP","A6001","HERPESVIRAL INFECTION OF PENIS","INFECTION; VIRAL.*INFECTION"
"192","CRP","A6002","HERPESVIRAL INFECTION OF OTHER MALE GENITAL ORGANS","INFECTION; VIRAL.*INFECTION"
"193","CRP","A6009","HERPESVIRAL INFECTION OF OTHER UROGENITAL TRACT","INFECTION; VIRAL.*INFECTION"
"194","CRP","A601","HERPESVIRAL INFECTION OF PERIANAL SKIN AND RECTUM","INFECTION; VIRAL.*INFECTION"
"195","CRP","B09","UNSPECIFIED VIRAL INFECTION CHARACTERIZED BY SKIN AND MUCOUS MEMBRANE LESIONS","INFECTION; VIRAL.*INFECTION"
"196","CRP","B348","OTHER VIRAL INFECTIONS OF UNSPECIFIED SITE","INFECTION; VIRAL.*INFECTION"
"197","CRP","B349","VIRAL INFECTION, UNSPECIFIED","INFECTION; VIRAL.*INFECTION"
"198","CRP","B9561","METHICILLIN SUSCEPTIBLE STAPHYLOCOCCUS AUREUS INFECTION AS THE CAUSE OF DISEASES CLASSIFIED ELSEWHERE","INFECTION"
"199","CRP","B9562","METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS INFECTION AS THE CAUSE OF DISEASES CLASSIFIED ELSEWHERE","INFECTION"
"200","CRP","E790","HYPERURICEMIA WITHOUT SIGNS OF INFLAMMATORY ARTHRITIS AND TOPHACEOUS DISEASE","INFLAMMATORY.*ARTHRITIS; INFLAMMATORY.*DISEASE"
"201","CRP","J069","ACUTE UPPER RESPIRATORY INFECTION, UNSPECIFIED","INFECTION"
"202","CRP","J22","UNSPECIFIED ACUTE LOWER RESPIRATORY INFECTION","INFECTION"
"203","CRP","K8500","IDIOPATHIC ACUTE PANCREATITIS WITHOUT NECROSIS OR INFECTION","INFECTION"
"204","CRP","K8510","BILIARY ACUTE PANCREATITIS WITHOUT NECROSIS OR INFECTION","INFECTION"
"205","CRP","K8520","ALCOHOL INDUCED ACUTE PANCREATITIS WITHOUT NECROSIS OR INFECTION","INFECTION"
"206","CRP","K8590","ACUTE PANCREATITIS WITHOUT NECROSIS OR INFECTION, UNSPECIFIED","INFECTION"
"207","CRP","L930","DISCOID LUPUS ERYTHEMATOSUS","LUPUS"
"208","CRP","L932","OTHER LOCAL LUPUS ERYTHEMATOSUS","LUPUS"
"209","CRP","M01X9","DIRECT INFECTION OF MULTIPLE JOINTS IN INFECTIOUS AND PARASITIC DISEASES CLASSIFIED ELSEWHERE","INFECTION"
"210","CRP","M05741","RHEUMATOID ARTHRITIS WITH RHEUMATOID FACTOR OF RIGHT HAND WITHOUT ORGAN OR SYSTEMS INVOLVEMENT","RHEUMATOID.*ARTHRITIS"
"211","CRP","M05742","RHEUMATOID ARTHRITIS WITH RHEUMATOID FACTOR OF LEFT HAND WITHOUT ORGAN OR SYSTEMS INVOLVEMENT","RHEUMATOID.*ARTHRITIS"
"212","CRP","M0579","RHEUMATOID ARTHRITIS WITH RHEUMATOID FACTOR OF MULTIPLE SITES WITHOUT ORGAN OR SYSTEMS INVOLVEMENT","RHEUMATOID.*ARTHRITIS"
"213","CRP","M059","RHEUMATOID ARTHRITIS WITH RHEUMATOID FACTOR, UNSPECIFIED","RHEUMATOID.*ARTHRITIS"
"214","CRP","M0600","RHEUMATOID ARTHRITIS WITHOUT RHEUMATOID FACTOR, UNSPECIFIED SITE","RHEUMATOID.*ARTHRITIS"
"215","CRP","M069","RHEUMATOID ARTHRITIS, UNSPECIFIED","RHEUMATOID.*ARTHRITIS"
"216","CRP","M320","DRUG-INDUCED SYSTEMIC LUPUS ERYTHEMATOSUS","LUPUS"
"217","CRP","M3210","SYSTEMIC LUPUS ERYTHEMATOSUS, ORGAN OR SYSTEM INVOLVEMENT UNSPECIFIED","LUPUS"
"218","CRP","M3212","PERICARDITIS IN SYSTEMIC LUPUS ERYTHEMATOSUS","LUPUS"
"219","CRP","M3213","LUNG INVOLVEMENT IN SYSTEMIC LUPUS ERYTHEMATOSUS","LUPUS"
"220","CRP","M3214","GLOMERULAR DISEASE IN SYSTEMIC LUPUS ERYTHEMATOSUS","LUPUS"
"221","CRP","M3219","OTHER ORGAN OR SYSTEM INVOLVEMENT IN SYSTEMIC LUPUS ERYTHEMATOSUS","LUPUS"
"222","CRP","M329","SYSTEMIC LUPUS ERYTHEMATOSUS, UNSPECIFIED","LUPUS"
"223","CRP","N390","URINARY TRACT INFECTION, SITE NOT SPECIFIED","INFECTION"
"224","CRP","N419","INFLAMMATORY DISEASE OF PROSTATE, UNSPECIFIED","INFLAMMATORY.*STATE; INFLAMMATORY.*DISEASE"
"225","CRP","N72","INFLAMMATORY DISEASE OF CERVIX UTERI","INFLAMMATORY.*DISEASE"
"226","CRP","O2341","UNSPECIFIED INFECTION OF URINARY TRACT IN PREGNANCY, FIRST TRIMESTER","INFECTION"
"227","CRP","O2343","UNSPECIFIED INFECTION OF URINARY TRACT IN PREGNANCY, THIRD TRIMESTER","INFECTION"
"228","CRP","R6520","SEVERE SEPSIS WITHOUT SEPTIC SHOCK","SEPSIS"
"229","CRP","R7982","ELEVATED C-REACTIVE PROTEIN (CRP)","ELEVATED.*CRP"
"230","CRP","T80219A","UNSPECIFIED INFECTION DUE TO CENTRAL VENOUS CATHETER, INITIAL ENCOUNTER","INFECTION"
"231","CRP","T8149XA","INFECTION FOLLOWING A PROCEDURE, OTHER SURGICAL SITE, INITIAL ENCOUNTER","INFECTION"
"232","CRP","T826XXD","INFECTION AND INFLAMMATORY REACTION DUE TO CARDIAC VALVE PROSTHESIS, SUBSEQUENT ENCOUNTER","INFECTION"
"233","HCST","D510","VITAMIN B12 DEFICIENCY ANEMIA DUE TO INTRINSIC FACTOR DEFICIENCY","VITAMIN.*DEFICIENCY; VITAMIN.*B12.*DEFICIENCY"
"234","HCST","D519","VITAMIN B12 DEFICIENCY ANEMIA, UNSPECIFIED","VITAMIN.*DEFICIENCY; VITAMIN.*B12.*DEFICIENCY; VITAMIN.*B12.*DEFICIENCY.*UNSPECIFIED"
"235","HCST","E539","VITAMIN B DEFICIENCY, UNSPECIFIED","VITAMIN.*DEFICIENCY"
"236","HCST","E559","VITAMIN D DEFICIENCY, UNSPECIFIED","VITAMIN.*DEFICIENCY"
"237","HCST","E569","VITAMIN DEFICIENCY, UNSPECIFIED","VITAMIN.*DEFICIENCY"
"238","TRIG","E782","MIXED HYPERLIPIDEMIA","HYPERLIPIDEMIA"
"239","TRIG","E7849","OTHER HYPERLIPIDEMIA","HYPERLIPIDEMIA"
"240","TRIG","E785","HYPERLIPIDEMIA, UNSPECIFIED","HYPERLIPIDEMIA"
"241","CREAT_C","E1121","TYPE 2 DIABETES MELLITUS WITH DIABETIC NEPHROPATHY","NEPHROPATHY"
"242","CREAT_C","M10371","GOUT DUE TO RENAL IMPAIRMENT, RIGHT ANKLE AND FOOT","RENAL.*IMPAIRMENT"
"243","CREAT_C","M1A3710","CHRONIC GOUT DUE TO RENAL IMPAIRMENT, RIGHT ANKLE AND FOOT, WITHOUT TOPHUS (TOPHI)","RENAL.*IMPAIRMENT"
