CLINICALLY_RELEVANT,VARIABLE_NAME,ICD_DX_CODE,MATCHED_TERMS
FALSE,CRP,L089,INFECTION
FALSE,CRP,L930,LUPUS
FALSE,CRP,L932,LUPUS
FALSE,CRP,M01X9,INFECTION
FALSE,CRP,M05741,RHEUMATOID.*ARTHRITIS
FALSE,CRP,M05742,RHEUMATOID.*ARTHRITIS
FALSE,CRP,M0579,RHEUMATOID.*ARTHRITIS
FALSE,CRP,M059,RHEUMATOID.*ARTHRITIS
FALSE,CRP,M0600,RHEUMATOID.*ARTHRITIS
FALSE,CRP,M069,RHEUMATOID.*ARTHRITIS
FALSE,CRP,M320,LUPUS
FALSE,CRP,M3210,LUPUS
FALSE,CRP,M3212,LUPUS
FALSE,CRP,M3213,LUPUS
FALSE,CRP,M3214,LUPUS
FALSE,CRP,M3219,LUPUS
FALSE,CRP,M329,LUPUS
FALSE,CRP,N390,INFECTION
FALSE,CRP,N419,INFLAMMATORY.*STATE; INFLAMMATORY.*DISEASE
FALSE,CRP,N72,INFLAMMATORY.*DISEASE
FALSE,CRP,N739,INFLAMMATORY.*DISEASE
FALSE,CRP,O2341,INFECTION
FALSE,CRP,O2343,INFECTION
FALSE,CRP,O98311,INFECTION
FALSE,CRP,R6520,SEPSIS
FALSE,CRP,R7982,ELEVATED.*CRP
FALSE,CRP,T80219A,INFECTION
FALSE,CRP,T8149XA,INFECTION
FALSE,CRP,T826XXD,INFECTION
FALSE,CRP,Z113,INFECTION
FALSE,CRP,Z202,INFECTION
FALSE,CRP,Z21,INFECTION
FALSE,CRP,Z8615,INFECTION
FALSE,CRP,Z87440,INFECTION
FALSE,HCST,D510,VITAMIN.*DEFICIENCY; VITAMIN.*B12.*DEFICIENCY
FALSE,HCST,D519,VITAMIN.*DEFICIENCY; VITAMIN.*B12.*DEFICIENCY; VITAMIN.*B12.*DEFICIENCY.*UNSPECIFIED
FALSE,HCST,E539,VITAMIN.*DEFICIENCY
FALSE,HCST,E559,VITAMIN.*DEFICIENCY
FALSE,HCST,E569,VITAMIN.*DEFICIENCY
T (What about this one I added?),TRIG,E781,
TRUE,TRIG,E782,HYPERLIPIDEMIA
FALSE,TRIG,E7849,HYPERLIPIDEMIA
FALSE,TRIG,E785,HYPERLIPIDEMIA
