"Variable_Name","DX_CODE","DX_DESC","matched_terms_llm_context_loop_icd10"
"CRP","N739","FEMALE PELVIC INFLAMMATORY DISEASE, UNSPECIFIED","INFLAMMATORY.*DISEASE"
"CRP","O98413","VIRAL HEPATITIS COMPLICATING PREGNANCY, THIRD TRIMESTER","HEPATITIS"
"CRP","R6520","SEVERE SEPSIS WITHOUT SEPTIC SHOCK","SEPSIS"
"CRP","S025XXS","FRACTURE OF TOOTH (TRAUMATIC), SEQUELA","TRAUMA"
"CRP","S06350D","TRAUMATIC HEMORRHAGE OF LEFT CEREBRUM WITHOUT LOSS OF CONSCIOUSNESS, SUBSEQUENT ENCOUNTER","TRAUMA"
"CRP","S066X9A","TRAUMATIC SUBARACHNOID HEMORRHAGE WITH LOSS OF CONSCIOUSNESS OF UNSPECIFIED DURATION, INITIAL ENCOUNTER","TRAUMA"
"CRP","S68117A","COMPLETE TRAUMATIC METACARPOPHALANGEAL AMPUTATION OF LEFT LITTLE FINGER, INITIAL ENCOUNTER","TRAUMA"
"CRP","S88111D","COMPLETE TRAUMATIC AMPUTATION AT LEVEL BETWEEN KNEE AND ANKLE, RIGHT LOWER LEG, SUBSEQUENT ENCOUNTER","TRAUMA"
"CRP","S98112A","COMPLETE TRAUMATIC AMPUTATION OF LEFT GREAT TOE, INITIAL ENCOUNTER","TRAUMA"
"CRP","T6701XD","HEATSTROKE AND SUNSTROKE, SUBSEQUENT ENCOUNTER","STROKE"
"CRP","T796XXD","TRAUMATIC ISCHEMIA OF MUSCLE, SUBSEQUENT ENCOUNTER","TRAUMA"
"CRP","T79A12D","TRAUMATIC COMPARTMENT SYNDROME OF LEFT UPPER EXTREMITY, SUBSEQUENT ENCOUNTER","TRAUMA"
"CRP","T79A12S","TRAUMATIC COMPARTMENT SYNDROME OF LEFT UPPER EXTREMITY, SEQUELA","TRAUMA"
"CRP","T79A22S","TRAUMATIC COMPARTMENT SYNDROME OF LEFT LOWER EXTREMITY, SEQUELA","TRAUMA"
"CRP","Z823","FAMILY HISTORY OF STROKE","STROKE"
"CRP","Z8701","PERSONAL HISTORY OF PNEUMONIA (RECURRENT)","PNEUMONIA"
"CRP","Z8781","PERSONAL HISTORY OF (HEALED) TRAUMATIC FRACTURE","TRAUMA"
"CRP","Z87820","PERSONAL HISTORY OF TRAUMATIC BRAIN INJURY","TRAUMA"
"CRP","Z87828","PERSONAL HISTORY OF OTHER (HEALED) PHYSICAL INJURY AND TRAUMA","TRAUMA"
"HCST","E8889","OTHER SPECIFIED METABOLIC DISORDERS","METABOLIC.*DISORDER"
"HCST","E889","METABOLIC DISORDER, UNSPECIFIED","METABOLIC.*DISORDER"
"HCST","Z13228","ENCOUNTER FOR SCREENING FOR OTHER METABOLIC DISORDERS","METABOLIC.*DISORDER"
"TRIG","E8881","Metabolic syndrome and other insulin resistance","METABOLIC.*SYNDROME"
