CLINICALLY_RELEVANT,VARIABLE_NAME,ICD_DX_CODE,ICD10_DX_DESC,MATCHED_TERMS,
FALSE,BP_SYSTOLIC,I87309,,HYPERTENSION,
FALSE,BP_SYSTOLIC,I87322,CHRONIC VENOUS HYPERTENSION (IDIOPATHIC) WITH INFLAMMATION OF LEFT LOWER EXTREMITY,HYPERTENSION,
TRUE,BP_SYSTOLIC,O10012,PRE-EXISTING ESSENTIAL HYPERTENSION COMPLICATING PREGNANCY,HYPERTENSION; ESSENTIAL.*HYPERTENSION,
TRUE,BP_SYSTOLIC,O10013,,HYPERTENSION; ESSENTIAL.*HYPERTENSION,
TRUE,BP_SYSTOLIC,O10019,,HYPERTENSION; ESSENTIAL.*HYPERTENSION; ESSENTIAL.*HYPERTENSION.*UNSPECIFIED,
TRUE,BP_SYSTOLIC,O10911,UNSPECIFIED PRE-EXISTING HYPERTENSION COMPLICATING PREGNANCY,HYPERTENSION,
TRUE,BP_SYSTOLIC,O10913,,HYPERTENSION,
TRUE,BP_SYSTOLIC,O10919,,HYPERTENSION,
TRUE,BP_SYSTOLIC,O133,GESTATIONAL [PREGNANCY-INDUCED] HYPERTENSION WITHOUT SIGNIFICANT PROTEINURIA,HYPERTENSION,
TRUE,BP_SYSTOLIC,O139,,HYPERTENSION,
TRUE,BP_SYSTOLIC,O161,UNSPECIFIED MATERNAL HYPERTENSION,HYPERTENSION,
TRUE,BP_SYSTOLIC,O163,,HYPERTENSION,
TRUE,BP_SYSTOLIC,O165,,HYPERTENSION,
TRUE,BP_SYSTOLIC,R030,"ELEVATED BLOOD-PRESSURE READING, WITHOUT DIAGNOSIS OF HYPERTENSION",HYPERTENSION; ELEVATED.*BLOOD.*PRESSURE,
TRUE,CHOL,E7800,"PURE HYPERCHOLESTEROLEMIA, UNSPECIFIED",HYPERCHOLESTEROLEMIA,
TRUE,CHOL,E78010,Homozygous familial hypercholesterolemia [HoFH],HYPERCHOLESTEROLEMIA,
TRUE,CHOL,E782,MIXED HYPERLIPIDEMIA,HYPERLIPIDEMIA,
TRUE,CHOL,E7849,OTHER HYPERLIPIDEMIA,HYPERLIPIDEMIA,
TRUE,CHOL,E785,"HYPERLIPIDEMIA, UNSPECIFIED",HYPERLIPIDEMIA,
TRUE,CHOL,Z8342,FAMILY HISTORY OF FAMILIAL HYPERCHOLESTEROLEMIA,HYPERCHOLESTEROLEMIA,
TRUE,CREAT_C,E0821,DIABETES MELLITUS DUE TO UNDERLYING CONDITION WITH DIABETIC NEPHROPATHY,NEPHROPATHY,
FALSE,CREAT_C,E1121,TYPE 2 DIABETES MELLITUS WITH DIABETIC NEPHROPATHY,NEPHROPATHY,
TRUE,CREAT_C,I120,HYPERTENSIVE CHRONIC KIDNEY DISEASE WITH STAGE 5 CHRONIC KIDNEY DISEASE OR END STAGE RENAL DISEASE,END.*STAGE.*RENAL.*DISEASE; CHRONIC.*KIDNEY.*DISEASE.*STAGE.*5; CHRONIC.*KIDNEY.*DISEASE.*STAGE.*5,
TRUE,CREAT_C,I129,"HYPERTENSIVE CHRONIC KIDNEY DISEASE WITH STAGE 1 THROUGH STAGE 4 CHRONIC KIDNEY DISEASE, OR UNSPECIFIED CHRONIC KIDNEY DISEASE",CHRONIC.*KIDNEY.*DISEASE.*STAGE.*1; CHRONIC.*KIDNEY.*DISEASE.*STAGE.*4,
FALSE,CREAT_C,M10371,GOUT DUE TO RENAL IMPAIRMENT,RENAL.*IMPAIRMENT,
FALSE,CREAT_C,M10372,,RENAL.*IMPAIRMENT,
FALSE,CREAT_C,M1A3710,"CHRONIC GOUT DUE TO RENAL IMPAIRMENT, RIGHT ANKLE AND FOOT, WITHOUT TOPHUS (TOPHI)",RENAL.*IMPAIRMENT,
TRUE,CREAT_C,N141,"Nephropathy induced by other drugs, medicaments and biological substances",NEPHROPATHY,
TRUE,CREAT_C,N170,ACUTE KIDNEY FAILURE WITH TUBULAR NECROSIS,KIDNEY.*FAILURE; ACUTE.*TUBULAR.*NECROSIS,
TRUE,CREAT_C,N179,"ACUTE KIDNEY FAILURE, UNSPECIFIED",KIDNEY.*FAILURE,
TRUE,CREAT_C,N181,CHRONIC KIDNEY DISEASE,CHRONIC.*KIDNEY.*DISEASE.*STAGE.*1,
TRUE,CREAT_C,N182,,CHRONIC.*KIDNEY.*DISEASE.*STAGE.*2; CHRONIC.*KIDNEY.*DISEASE.*MILD,
TRUE,CREAT_C,N1830,,CHRONIC.*KIDNEY.*DISEASE.*STAGE.*3,
TRUE,CREAT_C,N1830,,CHRONIC.*KIDNEY.*DISEASE.*STAGE.*3,
TRUE,CREAT_C,N1831,,CHRONIC.*KIDNEY.*DISEASE.*STAGE.*3,
TRUE,CREAT_C,N184,,CHRONIC.*KIDNEY.*DISEASE.*STAGE.*4; CHRONIC.*KIDNEY.*DISEASE.*SEVERE,
TRUE,CREAT_C,N185,,CHRONIC.*KIDNEY.*DISEASE.*STAGE.*5; CHRONIC.*KIDNEY.*DISEASE.*STAGE.*5,
TRUE,CREAT_C,N186,END STAGE RENAL DISEASE,END.*STAGE.*RENAL.*DISEASE,
TRUE,CRP,A029,"SALMONELLA INFECTION, UNSPECIFIED",INFECTION,Not specific for Salmonella. CRP is elevated in all infections ( inflammatory states)
TRUE,CRP,A040,ENTEROPATHOGENIC ESCHERICHIA COLI INFECTION,INFECTION,
TRUE,CRP,A048,OTHER SPECIFIED BACTERIAL INTESTINAL INFECTIONS,INFECTION; BACTERIAL.*INFECTION,
TRUE,CRP,A049,"BACTERIAL INTESTINAL INFECTION, UNSPECIFIED",INFECTION; BACTERIAL.*INFECTION,
TRUE,CRP,A084,"VIRAL INTESTINAL INFECTION, UNSPECIFIED",INFECTION; VIRAL.*INFECTION,
TRUE,CRP,A4101,SEPSIS DUE TO METHICILLIN SUSCEPTIBLE STAPHYLOCOCCUS AUREUS,SEPSIS,
TRUE,CRP,A419,"SEPSIS, UNSPECIFIED ORGANISM",SEPSIS,
TRUE,CRP,A499,"BACTERIAL INFECTION, UNSPECIFIED",INFECTION; BACTERIAL.*INFECTION,
TRUE,CRP,A549,"GONOCOCCAL INFECTION, UNSPECIFIED",INFECTION,
FALSE,CRP,A568,SEXUALLY TRANSMITTED CHLAMYDIAL INFECTION OF OTHER SITES,INFECTION,Never test CRP here 
FALSE,CRP,A6000,HERPESVIRAL INFECTION,INFECTION; VIRAL.*INFECTION,Never test CRP here 
FALSE,CRP,A6001,,INFECTION; VIRAL.*INFECTION,
FALSE,CRP,A6002,,INFECTION; VIRAL.*INFECTION,
FALSE,CRP,A6009,,INFECTION; VIRAL.*INFECTION,
FALSE,CRP,A601,,INFECTION; VIRAL.*INFECTION,
FALSE,CRP,A749,"CHLAMYDIAL INFECTION, UNSPECIFIED",INFECTION,Never test CRP here 
FALSE,CRP,B0089,OTHER HERPESVIRAL INFECTION,INFECTION; VIRAL.*INFECTION,
FALSE,CRP,B009,"HERPESVIRAL INFECTION, UNSPECIFIED",INFECTION; VIRAL.*INFECTION,Never test CRP here 
TRUE,CRP,B09,UNSPECIFIED VIRAL INFECTION CHARACTERIZED BY SKIN AND MUCOUS MEMBRANE LESIONS,INFECTION; VIRAL.*INFECTION,
TRUE,CRP,B348,OTHER VIRAL INFECTIONS OF UNSPECIFIED SITE,INFECTION; VIRAL.*INFECTION,
TRUE,CRP,B349,"VIRAL INFECTION, UNSPECIFIED",INFECTION; VIRAL.*INFECTION,
TRUE,CRP,B9561,METHICILLIN SUSCEPTIBLE STAPHYLOCOCCUS AUREUS INFECTION AS THE CAUSE OF DISEASES CLASSIFIED ELSEWHERE,INFECTION,
TRUE,CRP,B9562,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS INFECTION AS THE CAUSE OF DISEASES CLASSIFIED ELSEWHERE,INFECTION,
TRUE,CRP,E790,HYPERURICEMIA WITHOUT SIGNS OF INFLAMMATORY ARTHRITIS AND TOPHACEOUS DISEASE,INFLAMMATORY.*ARTHRITIS; INFLAMMATORY.*DISEASE,
TRUE,CRP,J069,"ACUTE UPPER RESPIRATORY INFECTION, UNSPECIFIED",INFECTION,
TRUE,CRP,J22,UNSPECIFIED ACUTE LOWER RESPIRATORY INFECTION,INFECTION,
FALSE,CRP,J440,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH (ACUTE) LOWER RESPIRATORY INFECTION,INFECTION,Would not test it here - it would be elevated if this was an acute flare. But not tested to establish a diagnosis or a treatment plan.
FALSE,CRP,K660,PERITONEAL ADHESIONS (POSTPROCEDURAL) (POSTINFECTION),INFECTION,
FALSE,CRP,K759,"INFLAMMATORY LIVER DISEASE, UNSPECIFIED",INFLAMMATORY.*DISEASE,
TRUE,CRP,K8500,IDIOPATHIC ACUTE PANCREATITIS WITHOUT NECROSIS OR INFECTION,INFECTION,
TRUE,CRP,K8510,BILIARY ACUTE PANCREATITIS WITHOUT NECROSIS OR INFECTION,INFECTION,
TRUE,CRP,K8520,ALCOHOL INDUCED ACUTE PANCREATITIS WITHOUT NECROSIS OR INFECTION,INFECTION,
TRUE,CRP,K8590,"ACUTE PANCREATITIS WITHOUT NECROSIS OR INFECTION, UNSPECIFIED",INFECTION,
FALSE,CRP,L089,"LOCAL INFECTION OF THE SKIN AND SUBCUTANEOUS TISSUE, UNSPECIFIED",INFECTION,
TRUE,CRP,L930,DISCOID LUPUS ERYTHEMATOSUS,LUPUS,
TRUE,CRP,L932,OTHER LOCAL LUPUS ERYTHEMATOSUS,LUPUS,
TRUE,CRP,M01X9,DIRECT INFECTION OF MULTIPLE JOINTS IN INFECTIOUS AND PARASITIC DISEASES CLASSIFIED ELSEWHERE,INFECTION,
TRUE,CRP,M05741,RHEUMATOID ARTHRITIS WITH RHEUMATOID FACTOR,RHEUMATOID.*ARTHRITIS,
TRUE,CRP,M05742,,RHEUMATOID.*ARTHRITIS,
TRUE,CRP,M0579,,RHEUMATOID.*ARTHRITIS,
TRUE,CRP,M059,,RHEUMATOID.*ARTHRITIS,
TRUE,CRP,M0600,"RHEUMATOID ARTHRITIS WITHOUT RHEUMATOID FACTOR, UNSPECIFIED SITE",RHEUMATOID.*ARTHRITIS,
TRUE,CRP,M069,"RHEUMATOID ARTHRITIS, UNSPECIFIED",RHEUMATOID.*ARTHRITIS,
TRUE,CRP,M320,DRUG-INDUCED SYSTEMIC LUPUS ERYTHEMATOSUS,LUPUS,
TRUE,CRP,M3210,"SYSTEMIC LUPUS ERYTHEMATOSUS, ORGAN OR SYSTEM INVOLVEMENT UNSPECIFIED",LUPUS,
TRUE,CRP,M3212,PERICARDITIS IN SYSTEMIC LUPUS ERYTHEMATOSUS,LUPUS,
TRUE,CRP,M3213,LUNG INVOLVEMENT IN SYSTEMIC LUPUS ERYTHEMATOSUS,LUPUS,
TRUE,CRP,M3214,GLOMERULAR DISEASE IN SYSTEMIC LUPUS ERYTHEMATOSUS,LUPUS,
TRUE,CRP,M3219,OTHER ORGAN OR SYSTEM INVOLVEMENT IN SYSTEMIC LUPUS ERYTHEMATOSUS,LUPUS,
TRUE,CRP,M329,"SYSTEMIC LUPUS ERYTHEMATOSUS, UNSPECIFIED",LUPUS,
TRUE,CRP,N390,"URINARY TRACT INFECTION, SITE NOT SPECIFIED",INFECTION,
TRUE,CRP,N419,"INFLAMMATORY DISEASE OF PROSTATE, UNSPECIFIED",INFLAMMATORY.*STATE; INFLAMMATORY.*DISEASE,
TRUE,CRP,N72,INFLAMMATORY DISEASE OF CERVIX UTERI,INFLAMMATORY.*DISEASE,
FALSE,CRP,N739,"FEMALE PELVIC INFLAMMATORY DISEASE, UNSPECIFIED",INFLAMMATORY.*DISEASE,
TRUE,CRP,O2341,UNSPECIFIED INFECTION OF URINARY TRACT IN PREGNANCY,INFECTION,
TRUE,CRP,O2343,,INFECTION,
FALSE,CRP,O98311,"OTHER INFECTIONS WITH A PREDOMINANTLY SEXUAL MODE OF TRANSMISSION COMPLICATING PREGNANCY, FIRST TRIMESTER",INFECTION,
TRUE,CRP,R6520,SEVERE SEPSIS WITHOUT SEPTIC SHOCK,SEPSIS,
TRUE,CRP,R7982,ELEVATED C-REACTIVE PROTEIN (CRP),ELEVATED.*CRP,
TRUE,CRP,T80219A,"UNSPECIFIED INFECTION DUE TO CENTRAL VENOUS CATHETER, INITIAL ENCOUNTER",INFECTION,
TRUE,CRP,T8149XA,"INFECTION FOLLOWING A PROCEDURE, OTHER SURGICAL SITE, INITIAL ENCOUNTER",INFECTION,
TRUE,CRP,T826XXD,"INFECTION AND INFLAMMATORY REACTION DUE TO CARDIAC VALVE PROSTHESIS, SUBSEQUENT ENCOUNTER",INFECTION,
FALSE,CRP,Z113,ENCOUNTER FOR SCREENING FOR INFECTIONS WITH A PREDOMINANTLY SEXUAL MODE OF TRANSMISSION,INFECTION,
FALSE,CRP,Z202,CONTACT WITH AND (SUSPECTED) EXPOSURE TO INFECTIONS WITH A PREDOMINANTLY SEXUAL MODE OF TRANSMISSION,INFECTION,
FALSE,CRP,Z21,ASYMPTOMATIC HUMAN IMMUNODEFICIENCY VIRUS [HIV] INFECTION STATUS,INFECTION,
FALSE,CRP,Z8615,PERSONAL HISTORY OF LATENT TUBERCULOSIS INFECTION,INFECTION,
FALSE,CRP,Z87440,PERSONAL HISTORY OF URINARY (TRACT) INFECTIONS,INFECTION,
TRUE,HCST,D510,VITAMIN B12 DEFICIENCY ANEMIA,VITAMIN.*DEFICIENCY; VITAMIN.*B12.*DEFICIENCY,
TRUE,HCST,D519,,VITAMIN.*DEFICIENCY; VITAMIN.*B12.*DEFICIENCY; VITAMIN.*B12.*DEFICIENCY.*UNSPECIFIED,
TRUE,HCST,E539,"VITAMIN B DEFICIENCY, UNSPECIFIED",VITAMIN.*DEFICIENCY,
TRUE,HCST,E559,"VITAMIN D DEFICIENCY, UNSPECIFIED",VITAMIN.*DEFICIENCY,
TRUE,HCST,E569,"VITAMIN DEFICIENCY, UNSPECIFIED",VITAMIN.*DEFICIENCY,
TRUE,TRIG,E782,MIXED HYPERLIPIDEMIA,HYPERLIPIDEMIA,
TRUE,TRIG,E7849,OTHER HYPERLIPIDEMIA,HYPERLIPIDEMIA,
TRUE,TRIG,E785,"HYPERLIPIDEMIA, UNSPECIFIED",HYPERLIPIDEMIA,
