CLINICALLY_RELEVANT,Variable_Name,DX_CODE,DX_DESC,matched_terms_llm_context_loop_icd10
Y,CRP,M86179,"OTHER ACUTE OSTEOMYELITIS, UNSPECIFIED ANKLE AND FOOT",OSTEOMYELITIS
Y,CRP,M869,"OSTEOMYELITIS, UNSPECIFIED",OSTEOMYELITIS
Y,CRP,N10,ACUTE PYELONEPHRITIS,PYELONEPHRITIS
Y,CRP,N419,"INFLAMMATORY DISEASE OF PROSTATE, UNSPECIFIED",INFLAMMATORY.*DISEASE
Y,CRP,N72,INFLAMMATORY DISEASE OF CERVIX UTERI,INFLAMMATORY.*DISEASE
Y,CRP,N730,ACUTE PARAMETRITIS AND PELVIC CELLULITIS,CELLULITIS
Y,CRP,N739,"FEMALE PELVIC INFLAMMATORY DISEASE, UNSPECIFIED",INFLAMMATORY.*DISEASE
Y,CRP,O98413,"VIRAL HEPATITIS COMPLICATING PREGNANCY, THIRD TRIMESTER",HEPATITIS
Y,CRP,R6520,SEVERE SEPSIS WITHOUT SEPTIC SHOCK,SEPSIS
Y,CRP,S025XXS,"FRACTURE OF TOOTH (TRAUMATIC), SEQUELA",TRAUMA
Y,CRP,S06350D,"TRAUMATIC HEMORRHAGE OF LEFT CEREBRUM WITHOUT LOSS OF CONSCIOUSNESS, SUBSEQUENT ENCOUNTER",TRAUMA
Y,CRP,S066X9A,"TRAUMATIC SUBARACHNOID HEMORRHAGE WITH LOSS OF CONSCIOUSNESS OF UNSPECIFIED DURATION, INITIAL ENCOUNTER",TRAUMA
Y,CRP,S68117A,"COMPLETE TRAUMATIC METACARPOPHALANGEAL AMPUTATION OF LEFT LITTLE FINGER, INITIAL ENCOUNTER",TRAUMA
Y,CRP,S88111D,"COMPLETE TRAUMATIC AMPUTATION AT LEVEL BETWEEN KNEE AND ANKLE, RIGHT LOWER LEG, SUBSEQUENT ENCOUNTER",TRAUMA
Y,CRP,S98112A,"COMPLETE TRAUMATIC AMPUTATION OF LEFT GREAT TOE, INITIAL ENCOUNTER",TRAUMA
Y,CRP,T6701XD,"HEATSTROKE AND SUNSTROKE, SUBSEQUENT ENCOUNTER",STROKE
Y,CRP,T796XXD,"TRAUMATIC ISCHEMIA OF MUSCLE, SUBSEQUENT ENCOUNTER",TRAUMA
Y,CRP,T79A12D,"TRAUMATIC COMPARTMENT SYNDROME OF LEFT UPPER EXTREMITY, SUBSEQUENT ENCOUNTER",TRAUMA
Y,CRP,T79A12S,"TRAUMATIC COMPARTMENT SYNDROME OF LEFT UPPER EXTREMITY, SEQUELA",TRAUMA
Y,CRP,T79A22S,"TRAUMATIC COMPARTMENT SYNDROME OF LEFT LOWER EXTREMITY, SEQUELA",TRAUMA
N,CRP,Z823,FAMILY HISTORY OF STROKE,STROKE
N,CRP,Z8701,PERSONAL HISTORY OF PNEUMONIA (RECURRENT),PNEUMONIA
N,CRP,Z8781,PERSONAL HISTORY OF (HEALED) TRAUMATIC FRACTURE,TRAUMA
N,CRP,Z87820,PERSONAL HISTORY OF TRAUMATIC BRAIN INJURY,TRAUMA
N,CRP,Z87828,PERSONAL HISTORY OF OTHER (HEALED) PHYSICAL INJURY AND TRAUMA,TRAUMA
N,HCST,E8889,OTHER SPECIFIED METABOLIC DISORDERS,METABOLIC.*DISORDER
Y,HCST,E889,"METABOLIC DISORDER, UNSPECIFIED",METABOLIC.*DISORDER
Y,HCST,Z13228,ENCOUNTER FOR SCREENING FOR OTHER METABOLIC DISORDERS,METABOLIC.*DISORDER
Y,TRIG,E8881,Metabolic syndrome and other insulin resistance,METABOLIC.*SYNDROME
